dt,Sunlight,Workday
2014-09-02 00:00:00,779.2270123,1
2014-09-03 00:00:00,776.791496,1
2014-09-04 00:00:00,774.3487653,1
2014-09-05 00:00:00,771.8992164,1
2014-09-06 00:00:00,769.4432354,0
2014-09-07 00:00:00,766.9811988,0
2014-09-08 00:00:00,764.5134736,1
2014-09-09 00:00:00,762.0404186,1
2014-09-10 00:00:00,759.5623845,1
2014-09-11 00:00:00,757.0797145,1
2014-09-12 00:00:00,754.5927452,1
2014-09-13 00:00:00,752.1018068,0
2014-09-14 00:00:00,749.6072241,0
2014-09-15 00:00:00,747.109317,1
2014-09-16 00:00:00,744.6084007,1
2014-09-17 00:00:00,742.1047873,1
2014-09-18 00:00:00,739.5987852,1
2014-09-19 00:00:00,737.0907009,1
2014-09-20 00:00:00,734.5808389,0
2014-09-21 00:00:00,732.0695026,0
2014-09-22 00:00:00,729.5569949,1
2014-09-23 00:00:00,727.043619,1
2014-09-24 00:00:00,724.5296788,1
2014-09-25 00:00:00,722.0154798,1
2014-09-26 00:00:00,719.5013299,1
2014-09-27 00:00:00,716.9875394,0
2014-09-28 00:00:00,714.4744227,0
2014-09-29 00:00:00,711.962298,1
2014-09-30 00:00:00,709.4514886,1
2014-10-01 00:00:00,706.9423233,1
2014-10-02 00:00:00,704.4351373,1
2014-10-03 00:00:00,701.9302727,1
2014-10-04 00:00:00,699.4280794,0
2014-10-05 00:00:00,696.9289154,0
2014-10-06 00:00:00,694.4331479,1
2014-10-07 00:00:00,691.9411539,1
2014-10-08 00:00:00,689.4533207,1
2014-10-09 00:00:00,686.9700468,1
2014-10-10 00:00:00,684.4917426,1
2014-10-11 00:00:00,682.0188307,0
2014-10-12 00:00:00,679.5517472,0
2014-10-13 00:00:00,677.0909417,0
2014-10-14 00:00:00,674.6368786,1
2014-10-15 00:00:00,672.1900371,1
2014-10-16 00:00:00,669.7509125,1
2014-10-17 00:00:00,667.3200164,1
2014-10-18 00:00:00,664.8978773,0
2014-10-19 00:00:00,662.4850415,0
2014-10-20 00:00:00,660.0820732,1
2014-10-21 00:00:00,657.6895556,1
2014-10-22 00:00:00,655.308091,1
2014-10-23 00:00:00,652.9383016,1
2014-10-24 00:00:00,650.5808296,1
2014-10-25 00:00:00,648.2363381,0
2014-10-26 00:00:00,645.905511,0
2014-10-27 00:00:00,643.5890538,1
2014-10-28 00:00:00,641.2876935,1
